CaseID ;Title                                                            ;Location                                                   ;City                                         ;State                ;Latitude           ;Longitude    ;Number of Victim Fatalities ;Total Number of Fatalities ;Number of Victims Injured ;Total_Number_of_Victims
127.0  ;Chardon High School                                              ;Chardon, Ohio                                              ;Chardon                                      ;Ohio                 ;41.58025541        ;-81.20812625 ;3.0                         ;3.0                        ;3.0                       ;6.0
117.0  ;Parkland Coffee Shop                                             ;Lakewood, Washington                                       ;Lakewood                                     ;Washington           ;47.16267579        ;-122.5296574 ;4.0                         ;5.0                        ;0.0                       ;4.0
108.0  ;Atlantis Plastics                                                ;Henderson, Kentucky                                        ;Henderson                                    ;Kentucky             ;37.84040411        ;-87.57853755 ;6.0                         ;7.0                        ;1.0                       ;7.0
92.0   ;Essex Elementary School                                          ;Essex Junction, Vermont                                    ;Essex Junction                               ;Vermont              ;44.49022039        ;-73.11400628 ;2.0                         ;2.0                        ;2.0                       ;4.0
55.0   ;Walter Rossler Company                                           ;Corpus Christi, Texas                                      ;Corpus Christi                               ;Texas                ;27.73907518        ;-97.43073352 ;5.0                         ;6.0                        ;0.0                       ;5.0
47.0   ;Long Island Rail Road Commuter Train                             ;Garden City, New York                                      ;Garden City                                  ;New York             ;40.72662266        ;-73.644712   ;6.0                         ;6.0                        ;19.0                      ;25.0
248.0  ;Orlando, Florida                                                 ;Orlando, Florida                                           ;Orlando                                      ;Florida              ;28.4541            ;-81.4646     ;2.0                         ;2.0                        ;10.0                      ;12.0
41.0   ;Offices of Pettit & Martin in San Francisco                      ;San Francisco, California                                  ;San Francisco                                ;California           ;37.75457839        ;-122.4424343 ;8.0                         ;9.0                        ;6.0                       ;14.0
314.0  ;Halifax County, VA                                               ;Halifax, Virginia                                          ;Halifax                                      ;Virginia             ;36.765971          ;-78.928344   ;0.0                         ;0.0                        ;6.0                       ;6.0
19.0   ;New York Technical College                                       ;Brooklyn, New York                                         ;Brooklyn                                     ;New York             ;40.679276          ;-73.939513   ;1.0                         ;1.0                        ;4.0                       ;5.0
178.0  ;LaGrange                                                         ;LaGrange, Georgia                                          ;LaGrange                                     ;Georgia              ;33.03607062        ;-85.0287065  ;5.0                         ;5.0                        ;0.0                       ;5.0
67.0   ;Westside Middle School                                           ;Jonesboro, Arkansas                                        ;Jonesboro                                    ;Arkansas             ;35.82083155        ;-90.67950058 ;5.0                         ;5.0                        ;10.0                      ;15.0
132.0  ;Movie Theater in Aurora                                          ;Denver, Colorado                                           ;Denver                                       ;Colorado             ;39.72941874        ;-104.9825207 ;12.0                        ;12.0                       ;58.0                      ;70.0
45.0   ;Luigi's Restaurant in Fayetteville                               ;Fayetteville, North Carolina                               ;Fayetteville                                 ;North Carolina       ;35.07997086        ;-79.03796125 ;4.0                         ;4.0                        ;8.0                       ;12.0
273.0  ;Glendale, AZ House Party shooting                                ;Glendale, Arizona                                          ;Glendale                                     ;Arizona              ;33.538652          ;-112.185987  ;3.0                         ;3.0                        ;5.0                       ;8.0
136.0  ;Azana Spa in Brookfield                                          ;Brookfield, Wisconsin                                      ;Brookfield                                   ;Wisconsin            ;43.06396691        ;-88.12299758 ;3.0                         ;4.0                        ;4.0                       ;7.0
